t_center,scheme,c2,gamma,nu
1.0,fwd20,3.9868238474041164,0.7331409172255537,0.2510198517786277
1.0,ctr20,4.082376066956121,-0.18832809487363678,0.16228363520023215
1.0,ctr50,3.755128565390789,-0.10590345083446831,0.055526249710078225
1.02,exact,4.278521653313192,-0.14376331561201522,0.030527922941976565
1.02,fwd20,4.020850442350813,0.7437544935251088,0.26397113468398925
1.02,ctr20,4.2241304941841715,-0.12925273807040544,0.04534479380376992
1.02,ctr50,3.8702537847703926,-0.07261121488425194,0.025288666354457687
1.04,exact,4.159365834970361,-0.12620864248357974,0.036235612006461804
1.04,fwd20,4.037440551499376,0.7318372106986518,0.27606429885439265
1.04,ctr20,4.134630416007342,-0.14028074200024818,0.03917177584338938
1.04,ctr50,3.6023900634052928,-0.13010635706911727,0.08080399816729802
1.06,exact,3.7571182556598557,-0.3263682477952494,0.02115653160561501
1.06,fwd20,4.072214631206428,0.7429056081750716,0.2821037260313871
1.06,ctr20,3.7054842875511587,-0.34742150289727236,-0.00806232142603551
1.06,ctr50,3.763664235983839,-0.38923250507530227,-0.09414605482996294
1.08,exact,3.3887396039948845,-0.3635917292127648,-0.0382785533755611
1.08,fwd20,4.096501494290456,0.7617442602180348,0.27990350251993923
1.08,ctr20,3.415463460303041,-0.3610251173149546,-0.05002155935392444
1.08,ctr50,3.3697151343882026,-0.3560654951762077,-0.061568342962699696
1.1,exact,3.5465906613338576,-0.2241488829039711,0.12126391474468438
1.1,fwd20,4.133500236541522,0.7565707415261704,0.2708479330312702
1.1,ctr20,3.5112547258788895,-0.24981898704412753,0.1021794257780462
1.1,ctr50,3.1107632604242497,-0.26083371865762167,0.05807618724406177
1.12,exact,3.782247263993214,-0.14522212103895255,0.17069333327079658
1.12,fwd20,4.119176882213819,0.7430962607583806,0.2748782935489623
1.12,ctr20,3.6964857045385995,-0.15063279048109063,0.18987048506604906
1.12,ctr50,3.3548508742189975,-0.1984828509825453,0.11522493538188644
1.1400000000000001,exact,3.875992051273416,-0.26157851267828197,0.09392853265064635
1.1400000000000001,fwd20,4.084227948975554,0.7467707683416749,0.29287380565176735
1.1400000000000001,ctr20,3.8583708050398844,-0.2688523230643501,0.08510258049930469
1.1400000000000001,ctr50,3.6938793585257965,-0.2222911599114886,0.1264119139592827
1.16,exact,3.8543483833955205,-0.40094219405961395,0.11378190665422588
1.16,fwd20,4.081893868935461,0.7568952600367083,0.2975092739917749
1.16,ctr20,3.8572125826516004,-0.39550643380321227,0.10512817241535558
1.16,ctr50,3.604544389830463,-0.3210721367110871,0.04407251367666386
1.18,exact,4.023722364292302,-0.3181839321145931,0.08923353347766037
1.18,fwd20,4.073599719423276,0.7489426291566277,0.2974661633938185
1.18,ctr20,3.9269922383228097,-0.2870024070356604,0.07677855602404493
1.18,ctr50,3.56415918683225,-0.16179216041865196,-0.06848181549353904
1.2,exact,3.9090955131650476,-0.4264421495672048,0.022660106564266813
1.2,fwd20,4.017002666079119,0.7467279688997586,0.3171349535570484
1.2,ctr20,3.8915931460412905,-0.4344735697540134,-0.0055418989843554756
1.2,ctr50,3.847835552149773,-0.32348550823148337,-0.043565729188665414
1.22,exact,4.209538797149907,-0.32641109919543526,-0.06905248751744197
1.22,fwd20,3.998357428247444,0.7451426306210754,0.3065692324971545
1.22,ctr20,4.167116483201792,-0.3348101495067683,-0.0709972166072142
1.22,ctr50,3.7739243397392706,-0.11240311729320082,-0.08045301447317202
1.24,exact,4.309396310184418,-0.2180144397452438,-0.030962985691442013
1.24,fwd20,4.006047983779007,0.7316649013670871,0.29485252715786725
1.24,ctr20,4.194730722924378,-0.18371396697825093,-0.054890434921099907
1.24,ctr50,3.601899839849737,-0.354973032510827,-0.1525373603686326
1.26,exact,3.8078810732681263,-0.13907405869293016,-0.012773243288821332
1.26,fwd20,4.008380833487949,0.7724122397536692,0.2892727644429386
1.26,ctr20,3.7660502507181906,-0.1558060258386234,-0.015693001216636485
1.26,ctr50,3.52412352122627,-0.08095330702328268,0.026740147881069265
1.28,exact,3.6554893753538917,-0.054607738376865125,0.07991722304204515
1.28,fwd20,3.9992641426438325,0.7898764291496153,0.3018779317323302
1.28,ctr20,3.613030170718682,-0.0354361279619224,0.07347618579120749
1.28,ctr50,3.6381049540428876,0.05832438658759569,-0.0008516464477053287
1.3,exact,3.9357537740855975,-0.1876631416701357,0.06375056464262227
1.3,fwd20,4.020173069966634,0.7405138204856023,0.2839785719623681
1.3,ctr20,3.9102972492925874,-0.15885962957557487,0.05762348146732513
1.3,ctr50,3.4639471509045494,0.057041979991279565,0.00670827554653633
1.32,exact,3.7799158762066796,-0.003866136778962123,-0.08819917032150273
1.32,fwd20,3.9681905227078937,0.7730522989807244,0.26270463787925813
1.32,ctr20,3.7686548279124015,-0.03886496549038581,-0.115888522357379
1.32,ctr50,3.6981506759731237,-0.28794247009356133,-0.06080448828601867
1.34,exact,3.6406364833102196,-0.18638143397953633,-0.0499359820430447
1.34,fwd20,3.942476785773383,0.8051199752497296,0.27269630640776793
1.34,ctr20,3.618922331730346,-0.20392866792607517,-0.042064529378753684
1.34,ctr50,3.617875158519961,-0.09972324001712649,-0.08156205478549387
1.36,exact,3.698682922920243,-0.17486379130855847,0.16285574441856532
1.36,fwd20,4.017157730579914,0.8000050875134576,0.2949501237887339
1.36,ctr20,3.7185968800918507,-0.19073284297836346,0.1275980026486686
1.36,ctr50,3.727918632491075,-0.14291451348924872,0.01964977168158555
1.3800000000000001,exact,3.803273132469459,-0.13792875895308526,0.11553411818283565
1.3800000000000001,fwd20,4.013106151270775,0.789883370763853,0.3355677636349784
1.3800000000000001,ctr20,3.7560171271581666,-0.15284204389888303,0.09569213252368558
1.3800000000000001,ctr50,3.494035270048018,-0.19761122596286113,0.07522251900449245
1.4000000000000001,exact,3.813529836267917,-0.011375437404900587,0.01923547009715837
1.4000000000000001,fwd20,4.021701307182815,0.7925923986373722,0.3281434849455855
1.4000000000000001,ctr20,3.7653248076222283,-0.051075784670955506,0.03826815033862363
1.4000000000000001,ctr50,3.5165989930757426,-0.007553388081376525,0.04010501174533064
